"Date";"District";"Ag_Neg";"Ag_Pos";"Total"
2020-10-16;"Okres Bratislava I";0;0;0
2020-10-16;"Okres Bratislava II";0;0;0
2020-10-16;"Okres Bratislava III";14;1;15
2020-10-16;"Okres Bratislava V";0;0;0
2020-10-16;"Okres Čadca";0;0;0
2020-10-16;"Okres Dolný Kubín";6;1;7
2020-10-16;"Okres Galanta";0;0;0
2020-10-16;"Okres Ilava";0;0;0
2020-10-16;"Okres Kežmarok";0;0;0
2020-10-16;"Okres Komárno";0;0;0
2020-10-16;"Okres Košice I";0;0;0
2020-10-16;"Okres Košice II";0;0;0
2020-10-16;"Okres Košice IV";19;0;19
2020-10-16;"Okres Liptovský Mikuláš";0;0;0
2020-10-16;"Okres Martin";7;5;12
2020-10-16;"Okres Michalovce";0;0;0
2020-10-16;"Okres Myjava";0;0;0
2020-10-16;"Okres Nitra";28;3;31
2020-10-16;"Okres Nové Mesto nad Váhom";0;0;0
2020-10-16;"Okres Piešťany";36;0;36
2020-10-16;"Okres Poprad";43;1;44
2020-10-16;"Okres Prievidza";30;6;36
2020-10-16;"Okres Revúca";1;0;1
2020-10-16;"Okres Rimavská Sobota";0;0;0
2020-10-16;"Okres Ružomberok";0;0;0
2020-10-16;"Okres Skalica";9;2;11
2020-10-16;"Okres Snina";0;0;0
2020-10-16;"Okres Spišská Nová Ves";0;0;0
2020-10-16;"Okres Topoľčany";0;0;0
2020-10-16;"Okres Trenčín";12;0;12
2020-10-16;"Okres Tvrdošín";0;0;0
2020-10-16;"Okres Zvolen";27;3;30
2020-10-16;"Okres Žiar nad Hronom";0;0;0
2020-10-16;"Okres Žilina";38;3;41
2020-10-17;"Okres Galanta";0;0;0
2020-10-17;"Okres Ilava";0;0;0
2020-10-17;"Okres Pezinok";0;0;0
2020-10-17;"Okres Prievidza";0;0;0
2020-10-18;"Okres Bratislava II";92;0;92
2020-10-18;"Okres Galanta";0;0;0
2020-10-18;"Okres Ilava";0;0;0
2020-10-18;"Okres Prievidza";0;0;0
2020-10-19;"Okres Bánovce nad Bebravou";0;0;0
2020-10-19;"Okres Banská Bystrica";40;6;46
2020-10-19;"Okres Bardejov";44;6;50
2020-10-19;"Okres Bratislava I";0;0;0
2020-10-19;"Okres Bratislava II";63;1;64
2020-10-19;"Okres Bratislava III";17;2;19
2020-10-19;"Okres Bratislava V";0;0;0
2020-10-19;"Okres Brezno";0;5;5
2020-10-19;"Okres Čadca";0;0;0
2020-10-19;"Okres Dolný Kubín";9;2;11
2020-10-19;"Okres Galanta";0;0;0
2020-10-19;"Okres Ilava";0;0;0
2020-10-19;"Okres Kežmarok";0;0;0
2020-10-19;"Okres Komárno";0;0;0
2020-10-19;"Okres Košice I";0;0;0
2020-10-19;"Okres Košice II";0;0;0
2020-10-19;"Okres Košice IV";6;0;6
2020-10-19;"Okres Levice";3;0;3
2020-10-19;"Okres Liptovský Mikuláš";0;0;0
2020-10-19;"Okres Lučenec";0;0;0
2020-10-19;"Okres Martin";16;3;19
2020-10-19;"Okres Michalovce";4;0;4
2020-10-19;"Okres Myjava";0;0;0
2020-10-19;"Okres Nitra";76;1;77
2020-10-19;"Okres Partizánske";0;0;0
2020-10-19;"Okres Pezinok";0;0;0
2020-10-19;"Okres Piešťany";55;0;55
2020-10-19;"Okres Poprad";191;9;200
2020-10-19;"Okres Prievidza";56;24;80
2020-10-19;"Okres Revúca";2;0;2
2020-10-19;"Okres Rimavská Sobota";0;0;0
2020-10-19;"Okres Rožňava";0;0;0
2020-10-19;"Okres Ružomberok";0;0;0
2020-10-19;"Okres Sobrance";0;0;0
2020-10-19;"Okres Spišská Nová Ves";0;0;0
2020-10-19;"Okres Topoľčany";0;0;0
2020-10-19;"Okres Trebišov";28;1;29
2020-10-19;"Okres Trenčín";27;1;28
2020-10-19;"Okres Tvrdošín";0;0;0
2020-10-19;"Okres Zvolen";31;1;32
2020-10-19;"Okres Žiar nad Hronom";0;0;0
2020-10-19;"Okres Žilina";55;7;62
2020-10-20;"Okres Bánovce nad Bebravou";0;0;0
2020-10-20;"Okres Banská Bystrica";10;3;13
2020-10-20;"Okres Banská Štiavnica";0;0;0
2020-10-20;"Okres Bardejov";14;4;18
2020-10-20;"Okres Bratislava I";4;0;4
2020-10-20;"Okres Bratislava II";83;3;86
2020-10-20;"Okres Bratislava III";4;0;4
2020-10-20;"Okres Bratislava V";1;1;1
2020-10-20;"Okres Čadca";0;0;0
2020-10-20;"Okres Dolný Kubín";40;5;45
2020-10-20;"Okres Galanta";0;0;0
2020-10-20;"Okres Ilava";0;0;0
2020-10-20;"Okres Komárno";0;0;0
2020-10-20;"Okres Košice IV";7;1;8
2020-10-20;"Okres Levice";2;0;2
2020-10-20;"Okres Liptovský Mikuláš";0;0;0
2020-10-20;"Okres Lučenec";19;0;19
2020-10-20;"Okres Martin";18;1;19
2020-10-20;"Okres Michalovce";3;0;3
2020-10-20;"Okres Myjava";0;0;0
2020-10-20;"Okres Nitra";76;6;82
2020-10-20;"Okres Pezinok";5;0;5
2020-10-20;"Okres Piešťany";65;1;66
2020-10-20;"Okres Poprad";51;3;54
2020-10-20;"Okres Prievidza";24;4;28
2020-10-20;"Okres Revúca";5;0;5
2020-10-20;"Okres Rimavská Sobota";0;0;0
2020-10-20;"Okres Ružomberok";0;0;0
2020-10-20;"Okres Skalica";17;2;19
2020-10-20;"Okres Spišská Nová Ves";0;0;0
2020-10-20;"Okres Topoľčany";0;0;0
2020-10-20;"Okres Trebišov";4;0;4
2020-10-20;"Okres Trenčín";23;2;25
2020-10-20;"Okres Tvrdošín";0;0;0
2020-10-20;"Okres Zvolen";32;0;32
2020-10-20;"Okres Žiar nad Hronom";0;0;0
2020-10-20;"Okres Žilina";69;2;71
2020-10-21;"Okres Banská Bystrica";16;3;19
2020-10-21;"Okres Banská Štiavnica";0;0;0
2020-10-21;"Okres Bardejov";15;2;17
2020-10-21;"Okres Bratislava I";0;0;0
2020-10-21;"Okres Bratislava II";77;0;77
2020-10-21;"Okres Bratislava III";4;2;6
2020-10-21;"Okres Bratislava V";5;1;6
2020-10-21;"Okres Čadca";0;0;0
2020-10-21;"Okres Dolný Kubín";12;2;14
2020-10-21;"Okres Dunajská Streda";2;1;3
2020-10-21;"Okres Galanta";0;0;0
2020-10-21;"Okres Ilava";0;0;0
2020-10-21;"Okres Komárno";0;0;0
2020-10-21;"Okres Košice II";76;1;77
2020-10-21;"Okres Košice IV";6;0;6
2020-10-21;"Okres Liptovský Mikuláš";0;0;0
2020-10-21;"Okres Lučenec";15;0;15
2020-10-21;"Okres Martin";28;8;36
2020-10-21;"Okres Michalovce";2;1;3
2020-10-21;"Okres Myjava";0;0;0
2020-10-21;"Okres Nitra";200;2;202
2020-10-21;"Okres Nové Mesto nad Váhom";0;0;0
2020-10-21;"Okres Pezinok";4;3;7
2020-10-21;"Okres Piešťany";44;0;44
2020-10-21;"Okres Poprad";43;6;49
2020-10-21;"Okres Prievidza";26;8;34
2020-10-21;"Okres Revúca";7;0;7
2020-10-21;"Okres Rimavská Sobota";0;0;0
2020-10-21;"Okres Ružomberok";0;0;0
2020-10-21;"Okres Skalica";27;2;29
2020-10-21;"Okres Spišská Nová Ves";0;0;0
2020-10-21;"Okres Topoľčany";0;0;0
2020-10-21;"Okres Trebišov";0;0;0
2020-10-21;"Okres Trenčín";27;1;28
2020-10-21;"Okres Zlaté Moravce";8;1;9
2020-10-21;"Okres Zvolen";228;0;228
2020-10-21;"Okres Žiar nad Hronom";0;0;0
2020-10-21;"Okres Žilina";34;4;38
2020-10-22;"Okres Banská Bystrica";12;2;14
2020-10-22;"Okres Bardejov";15;4;19
2020-10-22;"Okres Bratislava I";7;2;9
2020-10-22;"Okres Bratislava II";45;4;49
2020-10-22;"Okres Bratislava III";7;0;7
2020-10-22;"Okres Bratislava V";3;0;3
2020-10-22;"Okres Brezno";99;22;121
2020-10-22;"Okres Čadca";0;0;0
2020-10-22;"Okres Dolný Kubín";6;1;7
2020-10-22;"Okres Dunajská Streda";2;2;2
2020-10-22;"Okres Galanta";2;0;2
2020-10-22;"Okres Humenné";0;0;0
2020-10-22;"Okres Kežmarok";4;0;4
2020-10-22;"Okres Komárno";103;17;120
2020-10-22;"Okres Košice II";500;1;501
2020-10-22;"Okres Košice IV";1;0;1
2020-10-22;"Okres Levice";214;16;230
2020-10-22;"Okres Lučenec";16;0;16
2020-10-22;"Okres Malacky";0;0;0
2020-10-22;"Okres Michalovce";3;13;16
2020-10-22;"Okres Myjava";0;0;0
2020-10-22;"Okres Nitra";94;2;96
2020-10-22;"Okres Nové Mesto nad Váhom";2;0;2
2020-10-22;"Okres Partizánske";24;6;30
2020-10-22;"Okres Pezinok";142;9;151
2020-10-22;"Okres Piešťany";43;0;43
2020-10-22;"Okres Poprad";145;4;149
2020-10-22;"Okres Prešov";14;0;14
2020-10-22;"Okres Prievidza";26;4;30
2020-10-22;"Okres Revúca";38;0;38
2020-10-22;"Okres Rimavská Sobota";0;0;0
2020-10-22;"Okres Rožňava";3;1;4
2020-10-22;"Okres Ružomberok";0;0;0
2020-10-22;"Okres Skalica";8;0;8
2020-10-22;"Okres Snina";0;0;0
2020-10-22;"Okres Sobrance";0;0;0
2020-10-22;"Okres Spišská Nová Ves";20;1;21
2020-10-22;"Okres Stará Ľubovňa";218;22;240
2020-10-22;"Okres Topoľčany";22;3;25
2020-10-22;"Okres Trebišov";3;0;3
2020-10-22;"Okres Trenčín";30;2;32
2020-10-22;"Okres Zlaté Moravce";11;1;12
2020-10-22;"Okres Zvolen";88;0;88
2020-10-22;"Okres Žiar nad Hronom";0;0;0
2020-10-22;"Okres Žilina";27;2;29
2020-10-23;"Okres Banská Bystrica";20;0;20
2020-10-23;"Okres Bardejov";14;2;16
2020-10-23;"Okres Bratislava I";9;3;12
2020-10-23;"Okres Bratislava II";116;2;118
2020-10-23;"Okres Bratislava III";2;0;2
2020-10-23;"Okres Bratislava V";2;0;2
