nazov;datum;kraj;okres;obec;kod_pzs;non-O2_obs;non-O2_rel-obs;non-O2_volne;non-O2_max;O2_obs;O2_rel-obs;O2_volne;O2_max;JIS1_obs;JIS1_rel-obs;JIS1_volne;JIS1_max;JIS2_obs;JIS2_rel-obs;JIS2_volne;JIS2_max;JIS3_obs;JIS3_rel-obs;JIS3_volne;JIS3_max;OAIM_obs;OAIM_rel-obs;OAIM_volne;OAIM_max;spolu_obs;spolu_rel-obs;spolu_volne;spolu_max
N. arm. g. L. Svobodu Svidník;2020-11-10;Prešovský kraj;Okres Svidník;Svidník;P97554001101;6;0.352941;11;17;10;0.833333;2;12;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;17;0.566667;13;30
Nemocnica A. Leňa Humenné;2020-11-10;Prešovský kraj;Okres Humenné;Humenné;P27233192101;23;0.851852;4;27;8;1.000000;0;8;6;0.600000;4;10;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;38;0.808511;9;47
Nemocnica Poprad;2020-11-10;Prešovský kraj;Okres Poprad;Poprad;N22001198101;0;0.000000;0;0;22;0.478261;16;46;0;0.000000;0;0;1;0.500000;1;2;2;1.000000;0;2;4;0.666667;0;6;29;0.517857;17;56
Nemocnica Snina;2020-11-10;Prešovský kraj;Okres Snina;Snina;N80847192101;16;1.000000;0;16;9;0.750000;3;12;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;25;0.833333;5;30
NnoM Partizánske;2020-11-10;Trenčiansky kraj;Okres Partizánske;Partizánske;P63800205101;5;0.357143;9;14;7;0.700000;3;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;14;0.538462;12;26
NRC Kováčová;2020-11-10;Banskobystrický kraj;Okres Zvolen;Kováčová;N55966027101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Brezno;2020-11-10;Banskobystrický kraj;Okres Brezno;Brezno;N22399201101;16;1.000000;0;16;4;1.000000;0;4;1;1.000000;0;1;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;22;1.000000;0;22
Nsp Dunajská Streda;2020-11-10;Trnavský kraj;Okres Dunajská Streda;Dunajská Streda;P51102199101;10;1.000000;0;10;17;0.944444;1;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;0;0;27;0.900000;3;30
NsP Ilava;2020-11-10;Trenčiansky kraj;Okres Ilava;Ilava;P87119205101;10;0.714286;4;14;4;0.666667;2;6;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;14;0.700000;6;20
NsP Myjava;2020-11-10;Trenčiansky kraj;Okres Myjava;Myjava;P82987007101;0;0.000000;3;18;6;0.272727;16;22;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;7;0.170732;19;41
NsP Považská Bystrica;2020-11-10;Trenčiansky kraj;Okres Považská Bystrica;Považská Bystrica;P50945196101;22;0.162963;23;135;21;0.403846;11;52;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;0.500000;3;6;46;0.238342;37;193
NsP Prievidza so s. v Bojniciach;2020-11-10;Trenčiansky kraj;Okres Prievidza;Bojnice;P51373009101;26;0.866667;4;30;23;0.920000;2;25;1;0.500000;1;2;0;0.000000;0;0;3;0.750000;1;4;0;0.000000;0;0;53;0.868852;8;61
NsP Š. Kukuru Michalovce;2020-11-10;Košický kraj;Okres Michalovce;Michalovce;P66599002101;2;0.166667;10;12;19;0.463415;22;41;3;0.750000;1;4;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;26;0.426230;35;61
NsP Spišská Nová Ves;2020-11-10;Košický kraj;Okres Spišská Nová Ves;Spišská Nová Ves;P36605013101;2;0.045455;17;44;22;1.222222;-4;18;2;1.000000;0;2;0;0.000000;0;0;0;0.000000;0;2;0;0.000000;0;0;26;0.393939;13;66
