nazov;datum;kraj;okres;obec;kod_pzs;non-O2_obs;non-O2_rel-obs;non-O2_volne;non-O2_max;O2_obs;O2_rel-obs;O2_volne;O2_max;JIS1_obs;JIS1_rel-obs;JIS1_volne;JIS1_max;JIS2_obs;JIS2_rel-obs;JIS2_volne;JIS2_max;JIS3_obs;JIS3_rel-obs;JIS3_volne;JIS3_max;OAIM_obs;OAIM_rel-obs;OAIM_volne;OAIM_max;spolu_obs;spolu_rel-obs;spolu_volne;spolu_max
NsP sv. Jakuba Bardejov;2020-11-11;Prešovský kraj;Okres Bardejov;Bardejov;N84209025101;3;0.750000;1;4;20;0.500000;20;40;2;0.500000;2;4;2;0.666667;1;3;0;0.000000;0;0;3;0.750000;1;4;30;0.545455;25;55
NsP sv. Lukáša Galanta;2020-11-11;Trnavský kraj;Okres Galanta;Galanta;P80747196101;0;0.000000;0;23;12;0.666667;5;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.333333;2;3;13;0.295455;7;44
NsP Trebišov;2020-11-11;Košický kraj;Okres Trebišov;Trebišov;P81577014101;13;0.371429;22;35;9;0.900000;1;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;22;0.478261;24;46
NÚDCH Bratislava;2020-11-11;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P43059323101;0;0.000000;0;0;0;0.000000;24;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;10;10;0;0.000000;34;34
NÚSCH Bratislava;2020-11-11;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P70249278103;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NÚTPCHaHCH Vyšné Hágy;2020-11-11;Prešovský kraj;Okres Poprad;Vysoké Tatry;N92999012101;0;0.000000;0;0;16;0.571429;12;28;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;1;1.000000;0;1;18;0.580645;13;31
OÚ sv. Alžbety Bratislava;2020-11-11;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P31683229101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. P. Pinela Pezinok;2020-11-11;Bratislavský kraj;Okres Pezinok;Pezinok;P56642005101;0;0.000000;45;45;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;45;45
Psych. n. prof. Matulaya Kremnica;2020-11-11;Banskobystrický kraj;Okres Žiar nad Hronom;Kremnica;N27005105102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. Veľké Zálužie;2020-11-11;Nitriansky kraj;Okres Nitra;Veľké Zálužie;P19393005101;81;1.000000;0;81;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;81;1.000000;0;81
SÚSÚSCCH Banská Bystrica;2020-11-11;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;P35968069101;0;0.000000;0;0;4;0.307692;9;13;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;13;13;4;0.142857;24;28
Svet zdravia Rimavská Sobota;2020-11-11;Banskobystrický kraj;Okres Rimavská Sobota;Rimavská Sobota;P83216196102;0;0.000000;12;12;16;0.666667;8;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;17;0.447368;21;38
Svet zdravia Topoľčany;2020-11-11;Nitriansky kraj;Okres Topoľčany;Topoľčany;P59688205101;0;0.000000;14;14;5;0.416667;7;12;0;0.000000;2;2;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;7;0.233333;23;30
Svet zdravia Žiar nad Hronom;2020-11-11;Banskobystrický kraj;Okres Žiar nad Hronom;Žiar nad Hronom;P83216007101;0;0.000000;0;0;11;0.611111;7;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;12;0.631579;7;19
UN L. Pasteura Košice;2020-11-11;Košický kraj;Okres Košice IV;Košice - Juh;P77017002101;0;0.000000;3;3;54;0.509434;52;106;6;0.666667;3;9;5;0.500000;5;10;0;0.000000;2;2;8;0.470588;9;17;73;0.496599;74;147
UN Martin;2020-11-11;Žilinský kraj;Okres Martin;Martin;P38811002101;0;0.000000;11;25;71;0.682692;14;104;0;0.000000;0;0;6;0.300000;8;20;9;0.750000;3;12;0;0.000000;1;1;86;0.530864;37;162
UNB - akad. L. Dérera;2020-11-11;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P40707002101;0;0.000000;12;12;48;0.466019;11;103;0;0.000000;0;0;4;0.266667;2;15;0;0.000000;0;0;4;1.000000;0;4;56;0.417910;25;134
UNB - Ružinov;2020-11-11;Bratislavský kraj;Okres Bratislava II;Bratislava - Ružinov;P40707025101;0;0.000000;0;0;17;0.414634;4;41;5;0.500000;5;10;2;0.400000;0;5;0;0.000000;0;0;4;0.250000;0;16;28;0.388889;9;72
UNB - Staré Meso;2020-11-11;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P40707025106;6;0.750000;2;8;0;0.000000;3;10;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;1;0;0.000000;0;0;6;0.272727;8;22
UNB - sv. Cyrila a Metoda;2020-11-11;Bratislavský kraj;Okres Bratislava V;Bratislava - Petržalka;P40707025104;0;0.000000;0;0;9;0.900000;1;10;0;0.000000;0;0;1;0.333333;2;3;0;0.000000;0;3;1;0.333333;2;3;11;0.578947;5;19
ÚVN SNP Ružomberok;2020-11-11;Žilinský kraj;Okres Ružomberok;Ružomberok;P91151002101;16;0.432432;21;37;22;0.392857;34;56;0;0.000000;5;5;0;0.000000;0;0;7;0.437500;5;16;0;0.000000;0;0;45;0.394737;65;114
VOÚ Košice;2020-11-11;Košický kraj;Okres Košice IV;Košice - Juh;P76995046101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Vranovská nemocnica, Vranov nad Topľou;2020-11-11;Prešovský kraj;Okres Vranov nad Topľou;Vranov nad Topľou;P02824196101;0;0.000000;13;13;26;0.722222;10;36;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;28;0.549020;23;51
VšNsP Lučenec;2020-11-11;Banskobystrický kraj;Okres Lučenec;Lučenec;N50139002101;0;0.000000;36;36;17;0.278689;44;61;0;0.000000;0;0;0;0.000000;0;0;4;0.800000;1;5;0;0.000000;0;0;21;0.205882;81;102
VÚSCH Košice;2020-11-11;Košický kraj;Okres Košice II;Košice - Západ;P89851025101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP sv. Barbory Rožňava;2020-11-11;Košický kraj;Okres Rožňava;Rožňava;P85363027101;2;0.057143;33;35;4;0.500000;4;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;7;0.159091;37;44
AGEL Komárno;2020-11-12;Nitriansky kraj;Okres Komárno;Komárno;P77941001101;0;0.000000;2;2;20;0.666667;10;30;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;0;0.000000;1;1;22;0.628571;13;35
AGEL Levice;2020-11-12;Nitriansky kraj;Okres Levice;Levice;P01675196101;0;0.000000;21;21;10;0.416667;14;24;0;0.000000;5;5;0;0.000000;0;0;0;0.000000;0;0;5;1.000000;0;5;15;0.272727;40;55
AGEL Levoča;2020-11-12;Prešovský kraj;Okres Levoča;Levoča;P76239015101;13;0.168831;6;77;11;0.423077;0;26;0;0.000000;0;7;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;26;0.228070;8;114
AGEL Zlaté Moravce;2020-11-12;Nitriansky kraj;Okres Zlaté Moravce;Zlaté Moravce;P38629010101;2;0.500000;2;4;8;0.533333;0;15;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;10;0.500000;3;20
AGEL Zvolen, pr. Krupina;2020-11-12;Banskobystrický kraj;Okres Krupina;Krupina;P79469205101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Zvolen, pr. Zvolen;2020-11-12;Banskobystrický kraj;Okres Zvolen;Zvolen;P79469202101;0;0.000000;0;0;17;0.944444;1;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;19;0.950000;1;20
DFN Košice;2020-11-12;Košický kraj;Okres Košice II;Košice - Západ;P89483331101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;1;1
DFNsP Banská Bystrica;2020-11-12;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N49813332101;0;0.000000;0;24;2;0.250000;6;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;3;0;0.000000;1;3;2;0.052632;8;38
DONsP Dolný Kubín;2020-11-12;Žilinský kraj;Okres Dolný Kubín;Dolný Kubín;P51283196101;0;0.000000;0;0;21;0.583333;15;36;0;0.000000;4;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;22;0.523810;20;42
FN Nitra;2020-11-12;Nitriansky kraj;Okres Nitra;Nitra;P85687002101;0;0.000000;80;80;49;0.398374;74;123;3;0.111111;24;27;2;0.250000;6;8;0;0.000000;10;10;5;0.416667;7;12;59;0.226923;201;260
FN Trenčín;2020-11-12;Trenčiansky kraj;Okres Trenčín;Trenčín;P42383002101;12;0.240000;38;50;40;0.615385;25;65;0;0.000000;0;0;0;0.000000;0;0;3;0.500000;3;6;7;0.700000;3;10;62;0.473282;69;131
FN Trnava;2020-11-12;Trnavský kraj;Okres Trnava;Trnava;P20979002101;18;0.529412;16;34;7;0.092105;69;76;0;0.000000;0;0;4;0.666667;2;6;0;0.000000;0;0;5;0.500000;5;10;34;0.269841;92;126
FNsP F.D. Roosevelta Banská Bystrica;2020-11-12;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N42231002101;7;0.140000;43;50;22;0.628571;13;35;0;0.000000;2;2;0;0.000000;2;2;0;0.000000;0;0;8;0.800000;2;10;37;0.373737;62;99
FNSP J. A. Reimana Prešov;2020-11-12;Prešovský kraj;Okres Prešov;Prešov;N33067002101;0;0.000000;0;0;81;0.658537;42;123;7;0.500000;7;14;0;0.000000;0;0;0;0.000000;0;0;7;0.583333;5;12;95;0.637584;54;149
FNsP Nové Zámky;2020-11-12;Nitriansky kraj;Okres Nové Zámky;Nové Zámky;P81095025101;37;0.289063;2;128;20;0.400000;5;50;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;5;5;7;0.777778;2;9;64;0.333333;14;192
FNsP Skalica;2020-11-12;Trnavský kraj;Okres Skalica;Skalica;P81264051101;11;0.478261;12;23;12;0.571429;9;21;0;0.000000;0;3;0;0.000000;0;0;0;0.000000;0;0;3;0.500000;3;6;26;0.490566;24;53
FNsP Žilina;2020-11-12;Žilinský kraj;Okres Žilina;Žilina;N92725025101;10;0.135135;22;74;61;0.743902;4;82;0;0.000000;0;0;0;0.000000;0;0;8;0.800000;2;10;0;0.000000;0;0;79;0.475904;28;166
HONsP Trstená;2020-11-12;Žilinský kraj;Okres Tvrdošín;Trstená;P46405010101;0;0.000000;0;0;20;0.500000;20;40;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;1;1.000000;0;1;21;0.500000;21;42
KNsP Čadca;2020-11-12;Žilinský kraj;Okres Čadca;Čadca;N21149004101;34;0.772727;10;44;34;0.944444;2;36;3;0.750000;1;4;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;73;0.848837;13;86
LNsP MUDr. I. Stodolu Liptovský Mikuláš;2020-11-12;Žilinský kraj;Okres Liptovský Mikuláš;Liptovský Mikuláš;P66051013101;0;0.000000;0;0;15;0.394737;23;38;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;0;0;2;0.666667;1;3;17;0.404762;25;42
Ľubovnianska nemocnica, Stará Ľubovňa;2020-11-12;Prešovský kraj;Okres Stará Ľubovňa;Stará Ľubovňa;N56229010101;0;0.000000;6;6;22;0.785714;6;28;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;0.750000;1;4;25;0.657895;13;38
N. A. Wintera, Piešťany;2020-11-12;Trnavský kraj;Okres Piešťany;Piešťany;P93083009101;12;0.600000;8;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;4;12;0.500000;9;24
N. arm. g. L. Svobodu Svidník;2020-11-12;Prešovský kraj;Okres Svidník;Svidník;P97554001101;8;0.800000;2;10;11;0.550000;9;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;4;4;19;0.558824;15;34
Nemocnica A. Leňa Humenné;2020-11-12;Prešovský kraj;Okres Humenné;Humenné;P27233192101;23;0.851852;4;27;8;1.000000;0;8;5;0.500000;5;10;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;37;0.787234;10;47
Nemocnica Poprad;2020-11-12;Prešovský kraj;Okres Poprad;Poprad;N22001198101;0;0.000000;0;0;20;0.434783;18;46;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;2;0.333333;2;6;24;0.428571;22;56
Nemocnica Snina;2020-11-12;Prešovský kraj;Okres Snina;Snina;N80847192101;16;1.000000;0;16;4;0.333333;8;12;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;20;0.666667;10;30
NnoM Partizánske;2020-11-12;Trenčiansky kraj;Okres Partizánske;Partizánske;P63800205101;6;0.428571;8;14;5;0.500000;5;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;1.000000;0;3;14;0.518519;13;27
NRC Kováčová;2020-11-12;Banskobystrický kraj;Okres Zvolen;Kováčová;N55966027101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Brezno;2020-11-12;Banskobystrický kraj;Okres Brezno;Brezno;N22399201101;16;1.000000;0;16;4;1.000000;0;4;1;1.000000;0;1;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;22;1.000000;0;22
Nsp Dunajská Streda;2020-11-12;Trnavský kraj;Okres Dunajská Streda;Dunajská Streda;P51102199101;8;0.800000;2;10;18;1.000000;0;18;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;0;0.000000;0;0;27;0.900000;3;30
NsP Ilava;2020-11-12;Trenčiansky kraj;Okres Ilava;Ilava;P87119205101;8;0.571429;6;14;2;0.333333;4;6;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;10;0.500000;10;20
NsP Myjava;2020-11-12;Trenčiansky kraj;Okres Myjava;Myjava;P82987007101;0;0.000000;3;18;7;0.318182;15;22;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;8;0.195122;18;41
NsP Považská Bystrica;2020-11-12;Trenčiansky kraj;Okres Považská Bystrica;Považská Bystrica;P50945196101;0;0.000000;45;135;44;0.800000;11;55;0;0.000000;0;0;0;0.000000;3;3;1;0.250000;3;4;4;0.666667;2;6;49;0.241379;64;203
NsP Prievidza so s. v Bojniciach;2020-11-12;Trenčiansky kraj;Okres Prievidza;Bojnice;P51373009101;20;0.666667;10;30;24;0.960000;1;25;0;0.000000;2;2;0;0.000000;0;0;3;0.750000;1;4;0;0.000000;0;0;47;0.770492;14;61
NsP Š. Kukuru Michalovce;2020-11-12;Košický kraj;Okres Michalovce;Michalovce;P66599002101;6;0.500000;6;12;20;0.487805;21;41;4;1.000000;0;4;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;32;0.524590;29;61
NsP Spišská Nová Ves;2020-11-12;Košický kraj;Okres Spišská Nová Ves;Spišská Nová Ves;P36605013101;2;0.052632;11;38;21;0.875000;3;24;0;0.000000;0;1;0;0.000000;0;1;2;1.000000;0;2;0;0.000000;0;0;25;0.378788;14;66
NsP sv. Jakuba Bardejov;2020-11-12;Prešovský kraj;Okres Bardejov;Bardejov;N84209025101;1;0.250000;3;4;22;0.550000;18;40;3;0.750000;1;4;1;0.333333;2;3;0;0.000000;0;0;3;0.750000;1;4;30;0.545455;25;55
NsP sv. Lukáša Galanta;2020-11-12;Trnavský kraj;Okres Galanta;Galanta;P80747196101;0;0.000000;0;23;9;0.500000;8;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;1.000000;0;3;12;0.272727;8;44
NsP Trebišov;2020-11-12;Košický kraj;Okres Trebišov;Trebišov;P81577014101;14;0.400000;21;35;8;0.800000;2;10;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;0;0.000000;0;0;23;0.500000;23;46
NÚDCH Bratislava;2020-11-12;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P43059323101;0;0.000000;0;0;0;0.000000;24;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;10;10;0;0.000000;34;34
NÚSCH Bratislava;2020-11-12;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P70249278103;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NÚTPCHaHCH Vyšné Hágy;2020-11-12;Prešovský kraj;Okres Poprad;Vysoké Tatry;N92999012101;0;0.000000;0;0;18;0.642857;10;28;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;1;1.000000;0;1;20;0.645161;11;31
OÚ sv. Alžbety Bratislava;2020-11-12;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P31683229101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. P. Pinela Pezinok;2020-11-12;Bratislavský kraj;Okres Pezinok;Pezinok;P56642005101;0;0.000000;45;45;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;45;45
Psych. n. prof. Matulaya Kremnica;2020-11-12;Banskobystrický kraj;Okres Žiar nad Hronom;Kremnica;N27005105102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. Veľké Zálužie;2020-11-12;Nitriansky kraj;Okres Nitra;Veľké Zálužie;P19393005101;81;1.000000;0;81;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;81;1.000000;0;81
SÚSÚSCCH Banská Bystrica;2020-11-12;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;P35968069101;0;0.000000;0;0;3;0.230769;10;13;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;13;13;3;0.107143;25;28
Svet zdravia Rimavská Sobota;2020-11-12;Banskobystrický kraj;Okres Rimavská Sobota;Rimavská Sobota;P83216196102;0;0.000000;12;12;16;0.666667;8;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;16;0.421053;22;38
Svet zdravia Topoľčany;2020-11-12;Nitriansky kraj;Okres Topoľčany;Topoľčany;P59688205101;0;0.000000;14;14;5;0.416667;7;12;2;1.000000;0;2;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;9;0.300000;21;30
Svet zdravia Žiar nad Hronom;2020-11-12;Banskobystrický kraj;Okres Žiar nad Hronom;Žiar nad Hronom;P83216007101;0;0.000000;0;0;9;0.500000;9;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;10;0.526316;9;19
UN L. Pasteura Košice;2020-11-12;Košický kraj;Okres Košice IV;Košice - Juh;P77017002101;0;0.000000;3;3;51;0.481132;55;106;5;0.555556;4;9;5;0.500000;5;10;0;0.000000;2;2;6;0.352941;11;17;67;0.455782;80;147
UN Martin;2020-11-12;Žilinský kraj;Okres Martin;Martin;P38811002101;0;0.000000;11;25;62;0.596154;23;104;0;0.000000;0;0;6;0.300000;8;20;8;0.666667;4;12;0;0.000000;1;1;76;0.469136;47;162
UNB - akad. L. Dérera;2020-11-12;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P40707002101;0;0.000000;12;12;39;0.378641;20;103;0;0.000000;0;0;5;0.333333;1;15;0;0.000000;0;0;5;1.000000;0;5;49;0.362963;33;135
UNB - Ružinov;2020-11-12;Bratislavský kraj;Okres Bratislava II;Bratislava - Ružinov;P40707025101;0;0.000000;0;0;13;0.317073;8;41;5;0.500000;0;10;2;0.400000;0;5;0;0.000000;0;0;4;0.250000;0;16;24;0.333333;8;72
UNB - Staré Meso;2020-11-12;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P40707025106;9;1.125000;-1;8;0;0.000000;3;10;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;1;0;0.000000;0;0;9;0.409091;5;22
UNB - sv. Cyrila a Metoda;2020-11-12;Bratislavský kraj;Okres Bratislava V;Bratislava - Petržalka;P40707025104;0;0.000000;0;0;10;1.000000;0;10;0;0.000000;0;0;1;0.333333;2;3;0;0.000000;0;3;2;0.666667;1;3;13;0.684211;3;19
ÚVN SNP Ružomberok;2020-11-12;Žilinský kraj;Okres Ružomberok;Ružomberok;P91151002101;20;0.454545;24;44;18;0.321429;38;56;0;0.000000;5;5;0;0.000000;0;0;5;0.312500;7;16;0;0.000000;0;0;43;0.355372;74;121
VOÚ Košice;2020-11-12;Košický kraj;Okres Košice IV;Košice - Juh;P76995046101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Vranovská nemocnica, Vranov nad Topľou;2020-11-12;Prešovský kraj;Okres Vranov nad Topľou;Vranov nad Topľou;P02824196101;0;0.000000;13;13;27;0.750000;9;36;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;29;0.568627;22;51
VšNsP Lučenec;2020-11-12;Banskobystrický kraj;Okres Lučenec;Lučenec;N50139002101;0;0.000000;36;36;17;0.278689;44;61;0;0.000000;0;0;0;0.000000;0;0;3;0.600000;2;5;0;0.000000;0;0;20;0.196078;82;102
VÚSCH Košice;2020-11-12;Košický kraj;Okres Košice II;Košice - Západ;P89851025101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP sv. Barbory Rožňava;2020-11-12;Košický kraj;Okres Rožňava;Rožňava;P85363027101;2;0.057143;33;35;2;0.250000;6;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;5;0.113636;39;44
AGEL Krompachy;2020-11-12;Košický kraj;Okres Spišská Nová Ves;Krompachy;P22041202101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Revúca;2020-11-12;Banskobystrický kraj;Okres Revúca;Revúca;P88780001101;0;0.000000;13;13;0;0.000000;10;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;25;25
Psych. n. Hronovce;2020-11-12;Nitriansky kraj;Okres Levice;Hronovce;P28247005102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Komárno;2020-11-13;Nitriansky kraj;Okres Komárno;Komárno;P77941001101;0;0.000000;2;2;18;0.600000;12;30;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;0;0.000000;1;1;20;0.571429;15;35
AGEL Levice;2020-11-13;Nitriansky kraj;Okres Levice;Levice;P01675196101;2;0.095238;19;21;10;0.416667;14;24;0;0.000000;5;5;0;0.000000;0;0;0;0.000000;0;0;3;0.600000;2;5;15;0.272727;40;55
AGEL Levoča;2020-11-13;Prešovský kraj;Okres Levoča;Levoča;P76239015101;16;0.207792;3;77;11;0.423077;0;26;0;0.000000;0;7;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;29;0.254386;5;114
AGEL Zlaté Moravce;2020-11-13;Nitriansky kraj;Okres Zlaté Moravce;Zlaté Moravce;P38629010101;2;0.500000;2;4;8;0.533333;0;15;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;10;0.500000;3;20
AGEL Zvolen, pr. Krupina;2020-11-13;Banskobystrický kraj;Okres Krupina;Krupina;P79469205101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Zvolen, pr. Zvolen;2020-11-13;Banskobystrický kraj;Okres Zvolen;Zvolen;P79469202101;0;0.000000;0;0;19;1.055556;-1;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;21;1.050000;-1;20
DFN Košice;2020-11-13;Košický kraj;Okres Košice II;Košice - Západ;P89483331101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;1;1
DFNsP Banská Bystrica;2020-11-13;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N49813332101;0;0.000000;0;24;2;0.250000;6;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;3;0;0.000000;1;3;2;0.052632;8;38
DONsP Dolný Kubín;2020-11-13;Žilinský kraj;Okres Dolný Kubín;Dolný Kubín;P51283196101;0;0.000000;0;0;19;0.527778;17;36;0;0.000000;4;4;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;19;0.452381;23;42
FN Nitra;2020-11-13;Nitriansky kraj;Okres Nitra;Nitra;P85687002101;0;0.000000;80;80;55;0.447154;68;123;3;0.111111;24;27;2;0.250000;6;8;0;0.000000;10;10;6;0.500000;6;12;66;0.253846;194;260
FN Trenčín;2020-11-13;Trenčiansky kraj;Okres Trenčín;Trenčín;P42383002101;11;0.220000;39;50;38;0.584615;27;65;0;0.000000;0;0;0;0.000000;0;0;3;0.500000;3;6;6;0.600000;4;10;58;0.442748;73;131
FN Trnava;2020-11-13;Trnavský kraj;Okres Trnava;Trnava;P20979002101;19;0.558824;15;34;5;0.065789;71;76;0;0.000000;0;0;2;0.333333;4;6;0;0.000000;0;0;4;0.400000;6;10;30;0.238095;96;126
FNsP F.D. Roosevelta Banská Bystrica;2020-11-13;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N42231002101;8;0.160000;42;50;17;0.485714;18;35;0;0.000000;2;2;0;0.000000;2;2;0;0.000000;0;0;8;0.800000;2;10;33;0.333333;66;99
FNSP J. A. Reimana Prešov;2020-11-13;Prešovský kraj;Okres Prešov;Prešov;N33067002101;0;0.000000;0;0;76;0.617886;47;123;3;0.214286;11;14;0;0.000000;0;0;0;0.000000;0;0;7;0.583333;5;12;86;0.577181;63;149
