Datum;Code;Okres;RUVZ;Kraj;Pocet_Obyvatelov;7d_Incidencia_aktual;7d_incidenica_T-1;Zmena_7d_incidencia;Pripady_nad_65r;Incidencia;Vazena_Incidencia;Hospitalizacie;RUVZ_Hodnotenie;Semafor;Covid_Automat;Trend
23.2.2021;41;Bánovce nad Bebravou;Tren?ín;TN;36281,5;336,2595262;435,4836487;0,772151899;36;2014,800932;2312,473299;58;5;7;7;Poz
23.2.2021;32;Banská Bystrica;Banská Bystrica;BB;110828,5;344;369;0,932249322;116;1380;1775;58;6;6;7;Stab
23.2.2021;31;Banská Štiavnica;Žiar nad Hronom;BB;16086;211,3639189;124,331717;1,7;10;1230,883999;1417,381574;15;6;6;7;Stab
23.2.2021;5;Bardejov;Bardejov;PR;77771;196,7314295;181,3015134;1,085106383;48;829,3579869;1014,516979;36;5;6;7;Neg
23.2.2021;64;Bratislava I;Bratislava;BA;41095;278,8404672;326,6614918;0,853606789;458;1390,506025;1707,926739;352;5;6;7;Stab
23.2.2021;68;Bratislava II;Bratislava;BA;115653;278,8404672;326,6614918;0,853606789;458;1390,506025;1707,926739;352;5;6;7;Stab
23.2.2021;67;Bratislava III;Bratislava;BA;67913;278,8404672;326,6614918;0,853606789;458;1390,506025;1707,926739;352;5;6;7;Stab
23.2.2021;66;Bratislava IV;Bratislava;BA;97261;278,8404672;326,6614918;0,853606789;458;1390,506025;1707,926739;352;5;6;7;Stab
23.2.2021;65;Bratislava V;Bratislava;BA;110942;278,8404672;326,6614918;0,853606789;458;1390,506025;1707,926739;352;5;6;7;Stab
23.2.2021;28;Brezno;Banská Bystrica;BB;61449,5;181;120;1,508333333;19;1063;1235,160579;28;6;6;7;Stab
23.2.2021;25;Byt?a;Žilina;ZA;30917;271,6951839;168,1922567;1,615384615;13;1138,532199;1264,676392;26;6;6;7;Stab
23.2.2021;59;?adca;?adca;ZA;90080;186,5008881;95,47069272;1,953488372;20;964,6980462;1031,305506;60;6;6;7;Neg
23.2.2021;69;Detva;Zvolen;BB;32051;168,4814826;152,8813454;1,102040816;20;1756,575458;1943,777105;29;6;7;7;Stab
23.2.2021;55;Dolný Kubín;Dolný Kubín;ZA;39456,5;177,4105661;172,3416928;1,029411765;21;1328,044809;1487,714318;28;6;6;7;Stab
23.2.2021;13;Dunajská Streda;Dunajská Streda;TT;122358;360,4177904;518,1516533;0,695583596;153;2187,02496;2562,15368;109;6;7;7;Stab
23.2.2021;3;Galanta;Galanta;TT;94076;407,1176496;443,2586419;0,918465228;100;2004,762107;2323,653217;84;6;7;7;Neg
23.2.2021;74;Gelnica;Spišská Nová Ves;KE;31868;163,173089;160,035145;1,019607843;13;1129,659847;1252,039664;27;6;6;7;Stab
23.2.2021;61;Hlohovec;Trnava;TT;45012,5;339,9055818;419,8833657;0,80952381;34;2059,427937;2286,031658;42;6;7;7;Stab
23.2.2021;9;Humenné;Humenné;PR;61985,5;230,6991151;219,4061514;1,051470588;59;1295,464262;1581,014915;56;6;6;7;Stab
23.2.2021;60;Ilava;Považská Bystrica;TN;59187,5;388,5955649;310,876452;1,25;47;2245,406547;2483,632524;55;6;7;7;Stab
23.2.2021;4;Kežmarok;Poprad;PR;75235;67,78759886;69,11676746;0,980769231;7;600,7842095;628,6967502;34;5;5;7;Stab
23.2.2021;14;Komárno;Komárno;NR;101711,5;214,3317127;171,072101;1,252873563;51;1928,002242;2078,42771;60;6;6;7;Stab
23.2.2021;76;Košice I;Košice;KE;67513;354,137076;382,1095598;0,926794598;266;1594,431575;1811,150429;180;5;6;7;Stab
23.2.2021;79;Košice II;Košice;KE;82287,5;354,137076;382,1095598;0,926794598;266;1594,431575;1811,150429;180;5;6;7;Stab
23.2.2021;78;Košice III;Košice;KE;28748,5;354,137076;382,1095598;0,926794598;266;1594,431575;1811,150429;180;5;6;7;Stab
23.2.2021;77;Košice IV;Košice;KE;60126;354,137076;382,1095598;0,926794598;266;1594,431575;1811,150429;180;5;6;7;Stab
23.2.2021;29;Košice - okolie;Košice;KE;129543,5;354,137076;382,1095598;0,926794598;266;1594,431575;1811,150429;180;5;6;7;Stab
23.2.2021;30;Krupina;Zvolen;BB;22182;94,67135515;85,65503561;1,105263158;5;766,3871608;834,0095573;21;6;6;7;Stab
23.2.2021;73;Kysucké Nové Mesto;?adca;ZA;32914;118,4906119;115,4523911;1,026315789;12;865,8929331;975,2688825;15;5;6;7;Neg
23.2.2021;20;Levice;Levice;NR;110824;110,0844582;147,0800549;0,748466258;67;875,2616762;1056,630333;107;6;6;7;Stab
23.2.2021;36;Levo?a;Poprad;PR;33702;139,457599;77,14675687;1,807692308;6;540,0272981;593,4365913;22;6;6;7;Stab
23.2.2021;15;Liptovský Mikuláš;Liptovský Mikuláš;ZA;72260,5;339,0510722;312,7573155;1,084070796;52;1551,33164;1767,217221;36;6;6;7;Neg
23.2.2021;1;Lu?enec;Lu?enec;BB;73466;201,4537337;130,6726921;1,541666667;46;1456,456048;1644,298043;36;6;6;7;Neg
23.2.2021;62;Malacky;Bratislava;BA;74323;187,0215142;226,0403913;0,827380952;31;1097,910472;1223,039974;45;5;6;7;Stab
23.2.2021;49;Martin;Martin;ZA;96338;446,3451598;411,0527518;1,085858586;91;1833,129191;2116,506467;70;6;7;7;Stab
23.2.2021;63;Medzilaborce;Humenné;PR;11841,5;16,88975214;84,44876071;0,2;4;574,2515729;675,5900857;7;5;6;7;Poz
23.2.2021;34;Michalovce;Michalovce;KE;110705;193,3065354;197,8230432;0,97716895;56;958,4029628;1110,157626;63;5;6;7;Neg
23.2.2021;27;Myjava;Tren?ín;TN;26356;254,2115647;163,1507057;1,558139535;10;906,8143876;1020,640461;22;6;6;7;Neg
23.2.2021;23;Námestovo;Dolný Kubín;ZA;62663,5;46,27893431;38,2998077;1,208333333;6;493,1100242;521,83488;12;5;5;7;Neg
23.2.2021;11;Nitra;Nitra;NR;161560;152,8843773;163,4067839;0,935606061;68;769,3736073;895,6424858;68;6;6;7;Stab
23.2.2021;47;Nové Mesto nad Váhom;Tren?ín;TN;62553,5;410,8483138;436,426419;0,941391941;57;2186,92799;2460,293988;92;6;7;7;Stab
