"Date";"District";"PCR_Pos";"PCR_Neg";"PCR_Total"
2021-01-17;"Okres Medzilaborce";2;12;14
2021-01-17;"Okres Michalovce";18;98;116
2021-01-17;"Okres Myjava";0;6;6
2021-01-17;"Okres Námestovo";5;17;22
2021-01-17;"Okres Nitra";13;55;68
2021-01-17;"Okres Nové Mesto nad Váhom";1;25;26
2021-01-17;"Okres Nové Zámky";3;26;29
2021-01-17;"Okres Partizánske";7;19;26
2021-01-17;"Okres Pezinok";21;97;118
2021-01-17;"Okres Piešťany";3;34;37
2021-01-17;"Okres Poltár";1;12;13
2021-01-17;"Okres Poprad";14;80;94
2021-01-17;"Okres Považská Bystrica";9;48;57
2021-01-17;"Okres Prešov";32;198;230
2021-01-17;"Okres Prievidza";14;83;97
2021-01-17;"Okres Púchov";10;61;71
2021-01-17;"Okres Revúca";16;40;56
2021-01-17;"Okres Rimavská Sobota";1;33;34
2021-01-17;"Okres Rožňava";1;12;13
2021-01-17;"Okres Ružomberok";14;63;77
2021-01-17;"Okres Sabinov";10;82;92
2021-01-17;"Okres Senec";30;168;198
2021-01-17;"Okres Senica";1;13;14
2021-01-17;"Okres Skalica";0;4;4
2021-01-17;"Okres Snina";4;21;25
2021-01-17;"Okres Sobrance";5;41;46
2021-01-17;"Okres Spišská Nová Ves";9;81;90
2021-01-17;"Okres Stará Ľubovňa";26;154;180
2021-01-17;"Okres Stropkov";4;32;36
2021-01-17;"Okres Svidník";4;26;30
2021-01-17;"Okres Šaľa";1;20;21
2021-01-17;"Okres Topoľčany";5;12;17
2021-01-17;"Okres Trebišov";11;26;37
2021-01-17;"Okres Trenčín";46;218;264
2021-01-17;"Okres Trnava";67;208;275
2021-01-17;"Okres Turčianske Teplice";0;7;7
2021-01-17;"Okres Tvrdošín";4;8;12
2021-01-17;"Okres Veľký Krtíš";1;15;16
2021-01-17;"Okres Vranov nad Topľou";4;19;23
2021-01-17;"Okres Zlaté Moravce";3;17;20
2021-01-17;"Okres Zvolen";11;55;66
2021-01-17;"Okres Žarnovica";2;20;22
2021-01-17;"Okres Žiar nad Hronom";6;35;41
2021-01-17;"Okres Žilina";41;95;136
2021-01-17;NA;52;213;265
2021-01-16;"Neznáme";24;95;119
2021-01-16;"Okres Bánovce nad Bebravou";0;2;2
2021-01-16;"Okres Banská Bystrica";22;71;93
2021-01-16;"Okres Banská Štiavnica";0;2;2
2021-01-16;"Okres Bardejov";16;111;127
2021-01-16;"Okres Bratislava I";0;7;7
2021-01-16;"Okres Bratislava II";7;36;43
2021-01-16;"Okres Bratislava III";14;17;31
2021-01-16;"Okres Bratislava IV";3;9;12
2021-01-16;"Okres Bratislava V";7;22;29
2021-01-16;"Okres Brezno";0;6;6
2021-01-16;"Okres Bytča";0;2;2
2021-01-16;"Okres Čadca";13;51;64
2021-01-16;"Okres Detva";3;6;9
2021-01-16;"Okres Dolný Kubín";0;1;1
2021-01-16;"Okres Dunajská Streda";62;160;222
2021-01-16;"Okres Galanta";40;127;167
2021-01-16;"Okres Gelnica";0;4;4
2021-01-16;"Okres Hlohovec";2;1;3
2021-01-16;"Okres Humenné";14;53;67
2021-01-16;"Okres Ilava";1;8;9
2021-01-16;"Okres Kežmarok";0;8;8
2021-01-16;"Okres Komárno";0;2;2
2021-01-16;"Okres Košice - okolie";17;99;116
2021-01-16;"Okres Košice I";14;21;35
2021-01-16;"Okres Košice II";8;45;53
2021-01-16;"Okres Košice III";8;5;13
2021-01-16;"Okres Košice IV";7;22;29
2021-01-16;"Okres Krupina";0;4;4
2021-01-16;"Okres Kysucké Nové Mesto";1;3;4
2021-01-16;"Okres Levice";2;3;5
2021-01-16;"Okres Levoča";2;7;9
2021-01-16;"Okres Liptovský Mikuláš";0;1;1
2021-01-16;"Okres Lučenec";0;1;1
