"Date";"District";"PCR_Pos";"PCR_Neg";"PCR_Total"
2021-01-04;"Okres Trenčín";143;277;420
2021-01-04;"Okres Trnava";73;226;299
2021-01-04;"Okres Turčianske Teplice";18;33;51
2021-01-04;"Okres Tvrdošín";2;5;7
2021-01-04;"Okres Veľký Krtíš";4;35;39
2021-01-04;"Okres Vranov nad Topľou";21;49;70
2021-01-04;"Okres Zlaté Moravce";12;20;32
2021-01-04;"Okres Zvolen";34;208;242
2021-01-04;"Okres Žarnovica";3;11;14
2021-01-04;"Okres Žiar nad Hronom";5;55;60
2021-01-04;"Okres Žilina";151;339;490
2021-01-04;"Zahraničie";0;1;1
2021-01-04;NA;147;501;648
2021-01-03;"Neznáme";26;118;144
2021-01-03;"Okres Bánovce nad Bebravou";6;15;21
2021-01-03;"Okres Banská Bystrica";146;181;327
2021-01-03;"Okres Banská Štiavnica";1;6;7
2021-01-03;"Okres Bardejov";1;12;13
2021-01-03;"Okres Bratislava I";3;71;74
2021-01-03;"Okres Bratislava II";19;121;140
2021-01-03;"Okres Bratislava III";13;74;87
2021-01-03;"Okres Bratislava IV";15;66;81
2021-01-03;"Okres Bratislava V";10;80;90
2021-01-03;"Okres Brezno";15;34;49
2021-01-03;"Okres Bytča";0;3;3
2021-01-03;"Okres Čadca";0;14;14
2021-01-03;"Okres Detva";10;16;26
2021-01-03;"Okres Dolný Kubín";1;5;6
2021-01-03;"Okres Dunajská Streda";13;40;53
2021-01-03;"Okres Galanta";18;43;61
2021-01-03;"Okres Gelnica";0;11;11
2021-01-03;"Okres Hlohovec";3;12;15
2021-01-03;"Okres Humenné";20;37;57
2021-01-03;"Okres Ilava";8;10;18
2021-01-03;"Okres Kežmarok";2;15;17
2021-01-03;"Okres Komárno";1;9;10
2021-01-03;"Okres Košice - okolie";25;78;103
2021-01-03;"Okres Košice I";6;8;14
2021-01-03;"Okres Košice II";6;15;21
2021-01-03;"Okres Košice III";2;0;2
2021-01-03;"Okres Košice IV";4;13;17
2021-01-03;"Okres Krupina";0;3;3
2021-01-03;"Okres Kysucké Nové Mesto";1;4;5
2021-01-03;"Okres Levice";7;34;41
2021-01-03;"Okres Levoča";1;12;13
2021-01-03;"Okres Liptovský Mikuláš";7;9;16
2021-01-03;"Okres Lučenec";6;6;12
2021-01-03;"Okres Malacky";11;38;49
2021-01-03;"Okres Martin";0;9;9
2021-01-03;"Okres Medzilaborce";3;3;6
2021-01-03;"Okres Michalovce";32;90;122
2021-01-03;"Okres Myjava";0;2;2
2021-01-03;"Okres Námestovo";0;8;8
2021-01-03;"Okres Nitra";23;52;75
2021-01-03;"Okres Nové Mesto nad Váhom";4;11;15
2021-01-03;"Okres Nové Zámky";2;15;17
2021-01-03;"Okres Partizánske";0;9;9
2021-01-03;"Okres Pezinok";3;34;37
2021-01-03;"Okres Piešťany";6;13;19
2021-01-03;"Okres Poltár";0;1;1
2021-01-03;"Okres Poprad";4;31;35
2021-01-03;"Okres Považská Bystrica";0;7;7
2021-01-03;"Okres Prešov";40;135;175
2021-01-03;"Okres Prievidza";2;29;31
2021-01-03;"Okres Púchov";0;1;1
2021-01-03;"Okres Rimavská Sobota";0;5;5
2021-01-03;"Okres Rožňava";0;6;6
2021-01-03;"Okres Ružomberok";3;17;20
2021-01-03;"Okres Sabinov";14;30;44
2021-01-03;"Okres Senec";7;79;86
2021-01-03;"Okres Senica";0;6;6
2021-01-03;"Okres Skalica";1;8;9
2021-01-03;"Okres Snina";0;17;17
2021-01-03;"Okres Sobrance";3;15;18
2021-01-03;"Okres Spišská Nová Ves";1;30;31
2021-01-03;"Okres Stará Ľubovňa";0;11;11
2021-01-03;"Okres Stropkov";0;3;3
2021-01-03;"Okres Svidník";1;4;5
2021-01-03;"Okres Šaľa";6;12;18
2021-01-03;"Okres Topoľčany";3;10;13
2021-01-03;"Okres Trebišov";1;24;25
2021-01-03;"Okres Trenčín";22;48;70
2021-01-03;"Okres Trnava";17;83;100
2021-01-03;"Okres Turčianske Teplice";1;1;2
2021-01-03;"Okres Tvrdošín";0;5;5
2021-01-03;"Okres Veľký Krtíš";0;6;6
2021-01-03;"Okres Vranov nad Topľou";5;30;35
2021-01-03;"Okres Zlaté Moravce";0;8;8
2021-01-03;"Okres Zvolen";15;47;62
2021-01-03;"Okres Žarnovica";2;10;12
2021-01-03;"Okres Žiar nad Hronom";7;47;54
2021-01-03;"Okres Žilina";1;30;31
2021-01-03;NA;35;185;220
2021-01-02;"Neznáme";240;482;722
2021-01-02;"Okres Bánovce nad Bebravou";24;34;58
2021-01-02;"Okres Banská Bystrica";62;78;140
2021-01-02;"Okres Banská Štiavnica";2;6;8
2021-01-02;"Okres Bardejov";4;21;25
2021-01-02;"Okres Bratislava I";1;28;29
2021-01-02;"Okres Bratislava II";13;61;74
2021-01-02;"Okres Bratislava III";13;31;44
2021-01-02;"Okres Bratislava IV";6;42;48
2021-01-02;"Okres Bratislava V";10;38;48
2021-01-02;"Okres Brezno";1;14;15
2021-01-02;"Okres Bytča";15;22;37
2021-01-02;"Okres Čadca";2;12;14
2021-01-02;"Okres Detva";6;16;22
2021-01-02;"Okres Dolný Kubín";1;5;6
2021-01-02;"Okres Dunajská Streda";54;122;176
2021-01-02;"Okres Galanta";48;77;125
2021-01-02;"Okres Gelnica";0;19;19
2021-01-02;"Okres Hlohovec";43;34;77
2021-01-02;"Okres Humenné";4;33;37
2021-01-02;"Okres Ilava";13;32;45
2021-01-02;"Okres Kežmarok";3;26;29
2021-01-02;"Okres Komárno";1;8;9
2021-01-02;"Okres Košice - okolie";10;43;53
2021-01-02;"Okres Košice I";0;1;1
2021-01-02;"Okres Košice II";2;1;3
2021-01-02;"Okres Košice IV";0;1;1
2021-01-02;"Okres Krupina";1;15;16
2021-01-02;"Okres Kysucké Nové Mesto";2;11;13
2021-01-02;"Okres Levice";18;66;84
2021-01-02;"Okres Levoča";14;39;53
2021-01-02;"Okres Liptovský Mikuláš";3;23;26
2021-01-02;"Okres Lučenec";4;4;8
2021-01-02;"Okres Malacky";13;34;47
2021-01-02;"Okres Martin";6;9;15
2021-01-02;"Okres Medzilaborce";1;3;4
2021-01-02;"Okres Michalovce";0;5;5
2021-01-02;"Okres Myjava";0;3;3
2021-01-02;"Okres Námestovo";7;20;27
2021-01-02;"Okres Nitra";76;83;159
2021-01-02;"Okres Nové Mesto nad Váhom";7;16;23
2021-01-02;"Okres Nové Zámky";19;40;59
2021-01-02;"Okres Partizánske";20;16;36
2021-01-02;"Okres Pezinok";15;40;55
2021-01-02;"Okres Piešťany";15;17;32
2021-01-02;"Okres Poltár";0;1;1
2021-01-02;"Okres Poprad";21;56;77
2021-01-02;"Okres Považská Bystrica";21;29;50
2021-01-02;"Okres Prešov";9;50;59
2021-01-02;"Okres Prievidza";17;49;66
2021-01-02;"Okres Púchov";15;21;36
2021-01-02;"Okres Revúca";0;3;3
2021-01-02;"Okres Rimavská Sobota";0;4;4
2021-01-02;"Okres Rožňava";1;10;11
2021-01-02;"Okres Ružomberok";13;28;41
2021-01-02;"Okres Sabinov";2;15;17
2021-01-02;"Okres Senec";28;82;110
2021-01-02;"Okres Senica";4;27;31
2021-01-02;"Okres Skalica";1;13;14
2021-01-02;"Okres Snina";2;9;11
2021-01-02;"Okres Sobrance";1;7;8
2021-01-02;"Okres Spišská Nová Ves";47;129;176
2021-01-02;"Okres Stará Ľubovňa";1;25;26
2021-01-02;"Okres Stropkov";3;23;26
2021-01-02;"Okres Svidník";3;11;14
2021-01-02;"Okres Šaľa";15;23;38
2021-01-02;"Okres Topoľčany";23;28;51
2021-01-02;"Okres Trebišov";3;11;14
2021-01-02;"Okres Trenčín";18;47;65
2021-01-02;"Okres Trnava";91;157;248
2021-01-02;"Okres Turčianske Teplice";0;4;4
2021-01-02;"Okres Tvrdošín";0;16;16
2021-01-02;"Okres Veľký Krtíš";0;4;4
2021-01-02;"Okres Vranov nad Topľou";7;22;29
2021-01-02;"Okres Zlaté Moravce";24;21;45
2021-01-02;"Okres Zvolen";29;56;85
2021-01-02;"Okres Žarnovica";7;11;18
2021-01-02;"Okres Žiar nad Hronom";17;33;50
2021-01-02;"Okres Žilina";45;115;160
2021-01-02;NA;20;130;150
2021-01-01;"Neznáme";35;112;147
2021-01-01;"Okres Bánovce nad Bebravou";10;17;27
2021-01-01;"Okres Banská Bystrica";124;83;207
2021-01-01;"Okres Banská Štiavnica";0;1;1
2021-01-01;"Okres Bardejov";47;75;122
2021-01-01;"Okres Bratislava I";14;66;80
2021-01-01;"Okres Bratislava II";28;108;136
2021-01-01;"Okres Bratislava III";30;62;92
2021-01-01;"Okres Bratislava IV";24;103;127
2021-01-01;"Okres Bratislava V";42;106;148
2021-01-01;"Okres Brezno";11;12;23
2021-01-01;"Okres Bytča";7;6;13
2021-01-01;"Okres Čadca";58;72;130
2021-01-01;"Okres Detva";8;8;16
2021-01-01;"Okres Dolný Kubín";12;46;58
2021-01-01;"Okres Dunajská Streda";46;53;99
2021-01-01;"Okres Galanta";34;77;111
2021-01-01;"Okres Gelnica";2;4;6
2021-01-01;"Okres Hlohovec";10;24;34
2021-01-01;"Okres Humenné";30;58;88
2021-01-01;"Okres Ilava";72;112;184
2021-01-01;"Okres Kežmarok";0;3;3
2021-01-01;"Okres Komárno";0;8;8
2021-01-01;"Okres Košice - okolie";80;82;162
2021-01-01;"Okres Košice I";26;29;55
2021-01-01;"Okres Košice II";41;41;82
2021-01-01;"Okres Košice III";14;13;27
2021-01-01;"Okres Košice IV";12;30;42
2021-01-01;"Okres Krupina";3;3;6
2021-01-01;"Okres Kysucké Nové Mesto";16;19;35
2021-01-01;"Okres Levice";1;6;7
2021-01-01;"Okres Levoča";2;3;5
2021-01-01;"Okres Liptovský Mikuláš";4;8;12
2021-01-01;"Okres Lučenec";0;18;18
2021-01-01;"Okres Malacky";22;35;57
2021-01-01;"Okres Martin";1;9;10
2021-01-01;"Okres Medzilaborce";5;5;10
2021-01-01;"Okres Michalovce";33;84;117
2021-01-01;"Okres Myjava";1;8;9
2021-01-01;"Okres Námestovo";1;29;30
2021-01-01;"Okres Nitra";54;56;110
2021-01-01;"Okres Nové Mesto nad Váhom";34;51;85
2021-01-01;"Okres Nové Zámky";13;106;119
2021-01-01;"Okres Partizánske";3;10;13
2021-01-01;"Okres Pezinok";25;35;60
2021-01-01;"Okres Piešťany";21;52;73
2021-01-01;"Okres Poltár";1;2;3
2021-01-01;"Okres Poprad";4;14;18
2021-01-01;"Okres Považská Bystrica";30;51;81
2021-01-01;"Okres Prešov";13;37;50
2021-01-01;"Okres Prievidza";3;28;31
2021-01-01;"Okres Púchov";15;25;40
2021-01-01;"Okres Revúca";3;8;11
2021-01-01;"Okres Rimavská Sobota";8;12;20
2021-01-01;"Okres Rožňava";24;46;70
2021-01-01;"Okres Ružomberok";8;23;31
2021-01-01;"Okres Sabinov";7;9;16
2021-01-01;"Okres Senec";41;75;116
2021-01-01;"Okres Senica";1;6;7
2021-01-01;"Okres Skalica";0;3;3
2021-01-01;"Okres Snina";2;4;6
2021-01-01;"Okres Sobrance";10;15;25
2021-01-01;"Okres Spišská Nová Ves";6;40;46
2021-01-01;"Okres Stará Ľubovňa";0;6;6
2021-01-01;"Okres Stropkov";10;17;27
2021-01-01;"Okres Svidník";24;42;66
2021-01-01;"Okres Šaľa";19;31;50
2021-01-01;"Okres Topoľčany";17;28;45
2021-01-01;"Okres Trebišov";35;86;121
2021-01-01;"Okres Trenčín";162;231;393
2021-01-01;"Okres Trnava";32;51;83
2021-01-01;"Okres Turčianske Teplice";2;2;4
2021-01-01;"Okres Tvrdošín";2;25;27
2021-01-01;"Okres Veľký Krtíš";1;3;4
2021-01-01;"Okres Vranov nad Topľou";42;94;136
2021-01-01;"Okres Zlaté Moravce";16;6;22
2021-01-01;"Okres Zvolen";38;40;78
2021-01-01;"Okres Žarnovica";7;3;10
2021-01-01;"Okres Žiar nad Hronom";18;27;45
2021-01-01;"Okres Žilina";8;15;23
2021-01-01;NA;113;123;236
2020-12-31;"Neznáme";444;889;1333
2020-12-31;"Okres Bánovce nad Bebravou";36;49;85
2020-12-31;"Okres Banská Bystrica";167;315;482
2020-12-31;"Okres Banská Štiavnica";4;15;19
2020-12-31;"Okres Bardejov";85;156;241
2020-12-31;"Okres Bratislava I";55;211;266
2020-12-31;"Okres Bratislava II";147;391;538
2020-12-31;"Okres Bratislava III";77;240;317
2020-12-31;"Okres Bratislava IV";159;418;577
2020-12-31;"Okres Bratislava V";138;377;515
2020-12-31;"Okres Brezno";40;84;124
2020-12-31;"Okres Bytča";22;17;39
2020-12-31;"Okres Čadca";116;189;305
2020-12-31;"Okres Detva";17;41;58
2020-12-31;"Okres Dolný Kubín";28;30;58
2020-12-31;"Okres Dunajská Streda";103;227;330
2020-12-31;"Okres Galanta";65;180;245
2020-12-31;"Okres Gelnica";9;54;63
2020-12-31;"Okres Hlohovec";67;81;148
2020-12-31;"Okres Humenné";30;78;108
2020-12-31;"Okres Ilava";91;143;234
2020-12-31;"Okres Kežmarok";83;120;203
2020-12-31;"Okres Komárno";63;152;215
2020-12-31;"Okres Košice - okolie";104;205;309
2020-12-31;"Okres Košice I";38;41;79
2020-12-31;"Okres Košice II";30;66;96
2020-12-31;"Okres Košice III";24;24;48
2020-12-31;"Okres Košice IV";9;23;32
2020-12-31;"Okres Krupina";15;22;37
2020-12-31;"Okres Kysucké Nové Mesto";17;41;58
2020-12-31;"Okres Levice";91;217;308
2020-12-31;"Okres Levoča";46;119;165
2020-12-31;"Okres Liptovský Mikuláš";102;155;257
2020-12-31;"Okres Lučenec";59;94;153
2020-12-31;"Okres Malacky";91;185;276
2020-12-31;"Okres Martin";6;30;36
2020-12-31;"Okres Medzilaborce";5;11;16
2020-12-31;"Okres Michalovce";74;131;205
2020-12-31;"Okres Myjava";1;11;12
2020-12-31;"Okres Námestovo";6;25;31
2020-12-31;"Okres Nitra";175;296;471
2020-12-31;"Okres Nové Mesto nad Váhom";86;104;190
2020-12-31;"Okres Nové Zámky";179;245;424
2020-12-31;"Okres Partizánske";30;42;72
2020-12-31;"Okres Pezinok";83;184;267
2020-12-31;"Okres Piešťany";63;159;222
2020-12-31;"Okres Poltár";10;12;22
2020-12-31;"Okres Poprad";127;273;400
2020-12-31;"Okres Považská Bystrica";71;149;220
2020-12-31;"Okres Prešov";110;468;578
2020-12-31;"Okres Prievidza";106;243;349
2020-12-31;"Okres Púchov";50;90;140
2020-12-31;"Okres Revúca";13;51;64
2020-12-31;"Okres Rimavská Sobota";94;128;222
2020-12-31;"Okres Rožňava";17;55;72
2020-12-31;"Okres Ružomberok";43;76;119
2020-12-31;"Okres Sabinov";10;78;88
2020-12-31;"Okres Senec";113;279;392
2020-12-31;"Okres Senica";9;29;38
2020-12-31;"Okres Skalica";7;17;24
2020-12-31;"Okres Snina";19;62;81
2020-12-31;"Okres Sobrance";7;31;38
2020-12-31;"Okres Spišská Nová Ves";96;306;402
2020-12-31;"Okres Stará Ľubovňa";35;131;166
2020-12-31;"Okres Stropkov";14;22;36
2020-12-31;"Okres Svidník";24;51;75
2020-12-31;"Okres Šaľa";36;91;127
2020-12-31;"Okres Topoľčany";16;58;74
2020-12-31;"Okres Trebišov";84;199;283
2020-12-31;"Okres Trenčín";125;270;395
2020-12-31;"Okres Trnava";126;253;379
2020-12-31;"Okres Turčianske Teplice";1;6;7
2020-12-31;"Okres Tvrdošín";19;40;59
2020-12-31;"Okres Veľký Krtíš";16;39;55
2020-12-31;"Okres Vranov nad Topľou";62;125;187
2020-12-31;"Okres Zlaté Moravce";57;70;127
2020-12-31;"Okres Zvolen";57;114;171
2020-12-31;"Okres Žarnovica";14;84;98
2020-12-31;"Okres Žiar nad Hronom";23;64;87
2020-12-31;"Okres Žilina";34;59;93
2020-12-31;NA;141;403;544
2020-12-30;"Neznáme";1035;2027;3062
2020-12-30;"Okres Bánovce nad Bebravou";21;39;60
2020-12-30;"Okres Banská Bystrica";186;463;649
2020-12-30;"Okres Banská Štiavnica";5;17;22
2020-12-30;"Okres Bardejov";82;149;231
2020-12-30;"Okres Bratislava I";46;304;350
2020-12-30;"Okres Bratislava II";112;447;559
2020-12-30;"Okres Bratislava III";87;405;492
2020-12-30;"Okres Bratislava IV";100;467;567
2020-12-30;"Okres Bratislava V";102;399;501
2020-12-30;"Okres Brezno";45;99;144
2020-12-30;"Okres Bytča";59;50;109
2020-12-30;"Okres Čadca";18;72;90
2020-12-30;"Okres Detva";39;65;104
2020-12-30;"Okres Dolný Kubín";25;56;81
2020-12-30;"Okres Dunajská Streda";120;334;454
2020-12-30;"Okres Galanta";79;200;279
2020-12-30;"Okres Gelnica";14;52;66
2020-12-30;"Okres Hlohovec";39;96;135
2020-12-30;"Okres Humenné";54;91;145
2020-12-30;"Okres Ilava";116;272;388
2020-12-30;"Okres Kežmarok";34;224;258
2020-12-30;"Okres Komárno";33;91;124
2020-12-30;"Okres Košice - okolie";111;267;378
2020-12-30;"Okres Košice I";11;48;59
2020-12-30;"Okres Košice II";26;70;96
2020-12-30;"Okres Košice III";12;26;38
2020-12-30;"Okres Košice IV";13;29;42
2020-12-30;"Okres Krupina";18;56;74
2020-12-30;"Okres Kysucké Nové Mesto";34;57;91
2020-12-30;"Okres Levice";72;186;258
2020-12-30;"Okres Levoča";30;164;194
2020-12-30;"Okres Liptovský Mikuláš";113;146;259
2020-12-30;"Okres Lučenec";83;249;332
2020-12-30;"Okres Malacky";63;141;204
2020-12-30;"Okres Martin";250;272;522
2020-12-30;"Okres Medzilaborce";7;11;18
2020-12-30;"Okres Michalovce";64;129;193
2020-12-30;"Okres Myjava";56;118;174
2020-12-30;"Okres Námestovo";13;44;57
2020-12-30;"Okres Nitra";196;301;497
2020-12-30;"Okres Nové Mesto nad Váhom";80;139;219
2020-12-30;"Okres Nové Zámky";111;218;329
2020-12-30;"Okres Partizánske";33;43;76
2020-12-30;"Okres Pezinok";33;220;253
2020-12-30;"Okres Piešťany";81;125;206
2020-12-30;"Okres Poltár";20;32;52
2020-12-30;"Okres Poprad";99;215;314
2020-12-30;"Okres Považská Bystrica";152;252;404
2020-12-30;"Okres Prešov";149;515;664
2020-12-30;"Okres Prievidza";105;192;297
2020-12-30;"Okres Púchov";96;119;215
2020-12-30;"Okres Revúca";18;57;75
2020-12-30;"Okres Rimavská Sobota";86;147;233
2020-12-30;"Okres Rožňava";30;58;88
2020-12-30;"Okres Ružomberok";113;275;388
2020-12-30;"Okres Sabinov";43;82;125
2020-12-30;"Okres Senec";56;286;342
2020-12-30;"Okres Senica";53;101;154
2020-12-30;"Okres Skalica";25;62;87
2020-12-30;"Okres Snina";28;65;93
2020-12-30;"Okres Sobrance";14;48;62
2020-12-30;"Okres Spišská Nová Ves";40;119;159
2020-12-30;"Okres Stará Ľubovňa";65;160;225
2020-12-30;"Okres Stropkov";17;39;56
2020-12-30;"Okres Svidník";69;91;160
2020-12-30;"Okres Šaľa";39;63;102
2020-12-30;"Okres Topoľčany";187;135;322
2020-12-30;"Okres Trebišov";70;217;287
2020-12-30;"Okres Trenčín";176;303;479
2020-12-30;"Okres Trnava";151;455;606
2020-12-30;"Okres Turčianske Teplice";22;31;53
2020-12-30;"Okres Tvrdošín";12;17;29
2020-12-30;"Okres Veľký Krtíš";16;79;95
2020-12-30;"Okres Vranov nad Topľou";80;242;322
2020-12-30;"Okres Zlaté Moravce";46;78;124
2020-12-30;"Okres Zvolen";64;226;290
2020-12-30;"Okres Žarnovica";12;41;53
2020-12-30;"Okres Žiar nad Hronom";18;59;77
2020-12-30;"Okres Žilina";297;530;827
2020-12-30;"Zahraničie";0;1;1
2020-12-30;NA;197;482;679
2020-12-29;"Neznáme";543;1113;1656
2020-12-29;"Okres Bánovce nad Bebravou";39;96;135
2020-12-29;"Okres Banská Bystrica";51;242;293
2020-12-29;"Okres Banská Štiavnica";0;11;11
2020-12-29;"Okres Bardejov";44;140;184
2020-12-29;"Okres Bratislava I";16;135;151
2020-12-29;"Okres Bratislava II";34;220;254
2020-12-29;"Okres Bratislava III";29;150;179
2020-12-29;"Okres Bratislava IV";30;215;245
2020-12-29;"Okres Bratislava V";33;164;197
2020-12-29;"Okres Brezno";18;68;86
2020-12-29;"Okres Bytča";12;10;22
2020-12-29;"Okres Čadca";16;28;44
2020-12-29;"Okres Detva";13;45;58
2020-12-29;"Okres Dolný Kubín";13;38;51
2020-12-29;"Okres Dunajská Streda";22;77;99
2020-12-29;"Okres Galanta";105;116;221
2020-12-29;"Okres Gelnica";5;26;31
2020-12-29;"Okres Hlohovec";27;63;90
2020-12-29;"Okres Humenné";15;47;62
2020-12-29;"Okres Ilava";46;92;138
2020-12-29;"Okres Kežmarok";19;77;96
2020-12-29;"Okres Komárno";61;169;230
2020-12-29;"Okres Košice - okolie";58;161;219
2020-12-29;"Okres Košice I";15;40;55
2020-12-29;"Okres Košice II";15;63;78
2020-12-29;"Okres Košice III";5;12;17
2020-12-29;"Okres Košice IV";6;38;44
2020-12-29;"Okres Krupina";5;24;29
2020-12-29;"Okres Kysucké Nové Mesto";2;8;10
2020-12-29;"Okres Levice";23;89;112
2020-12-29;"Okres Levoča";18;20;38
2020-12-29;"Okres Liptovský Mikuláš";31;73;104
2020-12-29;"Okres Lučenec";43;44;87
2020-12-29;"Okres Malacky";27;82;109
2020-12-29;"Okres Martin";21;90;111
2020-12-29;"Okres Medzilaborce";5;10;15
2020-12-29;"Okres Michalovce";62;168;230
2020-12-29;"Okres Myjava";2;8;10
2020-12-29;"Okres Námestovo";15;40;55
2020-12-29;"Okres Nitra";116;215;331
2020-12-29;"Okres Nové Mesto nad Váhom";81;127;208
2020-12-29;"Okres Nové Zámky";85;146;231
2020-12-29;"Okres Partizánske";21;38;59
2020-12-29;"Okres Pezinok";16;64;80
2020-12-29;"Okres Piešťany";41;92;133
2020-12-29;"Okres Poltár";11;5;16
2020-12-29;"Okres Poprad";65;179;244
2020-12-29;"Okres Považská Bystrica";81;110;191
2020-12-29;"Okres Prešov";122;323;445
2020-12-29;"Okres Prievidza";76;182;258
2020-12-29;"Okres Púchov";42;43;85
2020-12-29;"Okres Revúca";19;68;87
2020-12-29;"Okres Rimavská Sobota";36;86;122
2020-12-29;"Okres Rožňava";25;76;101
2020-12-29;"Okres Ružomberok";30;53;83
2020-12-29;"Okres Sabinov";19;59;78
2020-12-29;"Okres Senec";39;130;169
2020-12-29;"Okres Senica";3;13;16
2020-12-29;"Okres Skalica";0;4;4
2020-12-29;"Okres Snina";0;8;8
2020-12-29;"Okres Sobrance";4;19;23
2020-12-29;"Okres Spišská Nová Ves";67;155;222
2020-12-29;"Okres Stará Ľubovňa";19;45;64
2020-12-29;"Okres Stropkov";24;55;79
2020-12-29;"Okres Svidník";39;77;116
2020-12-29;"Okres Šaľa";7;21;28
2020-12-29;"Okres Topoľčany";13;67;80
2020-12-29;"Okres Trebišov";55;190;245
2020-12-29;"Okres Trenčín";65;151;216
2020-12-29;"Okres Trnava";116;242;358
2020-12-29;"Okres Turčianske Teplice";2;4;6
2020-12-29;"Okres Tvrdošín";28;45;73
2020-12-29;"Okres Veľký Krtíš";5;9;14
2020-12-29;"Okres Vranov nad Topľou";61;128;189
2020-12-29;"Okres Zlaté Moravce";25;34;59
2020-12-29;"Okres Zvolen";37;156;193
2020-12-29;"Okres Žarnovica";3;19;22
2020-12-29;"Okres Žiar nad Hronom";12;33;45
2020-12-29;"Okres Žilina";41;101;142
2020-12-29;NA;106;329;435
2020-12-28;"Neznáme";181;561;742
2020-12-28;"Okres Bánovce nad Bebravou";13;65;78
2020-12-28;"Okres Banská Bystrica";42;136;178
2020-12-28;"Okres Banská Štiavnica";2;12;14
2020-12-28;"Okres Bardejov";17;77;94
2020-12-28;"Okres Bratislava I";27;176;203
2020-12-28;"Okres Bratislava II";53;280;333
2020-12-28;"Okres Bratislava III";25;182;207
2020-12-28;"Okres Bratislava IV";41;203;244
2020-12-28;"Okres Bratislava V";32;216;248
2020-12-28;"Okres Brezno";3;21;24
2020-12-28;"Okres Bytča";23;41;64
2020-12-28;"Okres Čadca";52;118;170
2020-12-28;"Okres Detva";10;55;65
2020-12-28;"Okres Dolný Kubín";5;22;27
2020-12-28;"Okres Dunajská Streda";23;76;99
2020-12-28;"Okres Galanta";28;68;96
2020-12-28;"Okres Gelnica";6;12;18
2020-12-28;"Okres Hlohovec";18;52;70
2020-12-28;"Okres Humenné";20;74;94
2020-12-28;"Okres Ilava";19;43;62
2020-12-28;"Okres Kežmarok";9;24;33
2020-12-28;"Okres Komárno";1;43;44
2020-12-28;"Okres Košice - okolie";81;182;263
2020-12-28;"Okres Košice I";31;39;70
2020-12-28;"Okres Košice II";21;42;63
2020-12-28;"Okres Košice III";6;16;22
2020-12-28;"Okres Košice IV";12;29;41
2020-12-28;"Okres Krupina";6;46;52
2020-12-28;"Okres Kysucké Nové Mesto";21;47;68
2020-12-28;"Okres Levice";11;16;27
2020-12-28;"Okres Levoča";11;32;43
2020-12-28;"Okres Liptovský Mikuláš";31;81;112
2020-12-28;"Okres Lučenec";31;96;127
2020-12-28;"Okres Malacky";21;85;106
2020-12-28;"Okres Martin";79;214;293
2020-12-28;"Okres Medzilaborce";3;5;8
2020-12-28;"Okres Michalovce";7;28;35
2020-12-28;"Okres Myjava";16;58;74
2020-12-28;"Okres Námestovo";3;17;20
2020-12-28;"Okres Nitra";13;32;45
2020-12-28;"Okres Nové Mesto nad Váhom";24;71;95
2020-12-28;"Okres Nové Zámky";34;92;126
2020-12-28;"Okres Partizánske";1;28;29
2020-12-28;"Okres Pezinok";12;93;105
2020-12-28;"Okres Piešťany";41;111;152
2020-12-28;"Okres Poltár";2;17;19
2020-12-28;"Okres Poprad";14;74;88
2020-12-28;"Okres Považská Bystrica";43;71;114
2020-12-28;"Okres Prešov";177;484;661
2020-12-28;"Okres Prievidza";11;64;75
2020-12-28;"Okres Púchov";19;29;48
2020-12-28;"Okres Revúca";4;8;12
2020-12-28;"Okres Rimavská Sobota";3;20;23
2020-12-28;"Okres Rožňava";6;9;15
2020-12-28;"Okres Ružomberok";29;84;113
2020-12-28;"Okres Sabinov";48;101;149
2020-12-28;"Okres Senec";23;144;167
2020-12-28;"Okres Senica";12;51;63
2020-12-28;"Okres Skalica";2;10;12
2020-12-28;"Okres Snina";10;35;45
2020-12-28;"Okres Sobrance";2;8;10
2020-12-28;"Okres Spišská Nová Ves";12;52;64
2020-12-28;"Okres Stará Ľubovňa";36;59;95
2020-12-28;"Okres Stropkov";5;15;20
2020-12-28;"Okres Svidník";37;69;106
2020-12-28;"Okres Šaľa";8;12;20
2020-12-28;"Okres Topoľčany";13;19;32
2020-12-28;"Okres Trebišov";58;131;189
2020-12-28;"Okres Trenčín";105;233;338
2020-12-28;"Okres Trnava";94;219;313
2020-12-28;"Okres Turčianske Teplice";9;22;31
2020-12-28;"Okres Tvrdošín";0;4;4
2020-12-28;"Okres Veľký Krtíš";2;19;21
2020-12-28;"Okres Vranov nad Topľou";9;48;57
2020-12-28;"Okres Zlaté Moravce";2;4;6
2020-12-28;"Okres Zvolen";35;243;278
2020-12-28;"Okres Žarnovica";3;14;17
2020-12-28;"Okres Žiar nad Hronom";9;44;53
2020-12-28;"Okres Žilina";110;277;387
2020-12-28;NA;118;384;502
2020-12-27;"Neznáme";45;113;158
2020-12-27;"Okres Bánovce nad Bebravou";1;2;3
2020-12-27;"Okres Banská Bystrica";23;109;132
2020-12-27;"Okres Banská Štiavnica";2;0;2
2020-12-27;"Okres Bardejov";9;36;45
2020-12-27;"Okres Bratislava I";6;68;74
2020-12-27;"Okres Bratislava II";28;110;138
2020-12-27;"Okres Bratislava III";18;69;87
2020-12-27;"Okres Bratislava IV";32;85;117
2020-12-27;"Okres Bratislava V";27;104;131
