"";"datum";"district";"region";"covid";"pocet"
"107";2021-06-29;"KK";"PO";"non_covid";15
"108";2021-06-29;"KM";"ZA";"non_covid";9
"109";2021-06-29;"KN";"NR";"non_covid";18
"110";2021-06-29;"KS";"KE";"non_covid";41
"111";2021-06-29;"LC";"BB";"non_covid";26
"112";2021-06-29;"LE";"PO";"non_covid";11
"113";2021-06-29;"LM";"ZA";"non_covid";24
"114";2021-06-29;"LV";"NR";"non_covid";42
"115";2021-06-29;"MA";"BA";"non_covid";19
"116";2021-06-29;"MI";"KE";"non_covid";50
"117";2021-06-29;"ML";"PO";"non_covid";4
"118";2021-06-29;"MT";"ZA";"non_covid";19
"119";2021-06-29;"MY";"TN";"non_covid";4
"120";2021-06-29;"NM";"TN";"non_covid";22
"121";2021-06-29;"NO";"ZA";"non_covid";15
"122";2021-06-29;"NR";"NR";"non_covid";33
"123";2021-06-29;"NZ";"NR";"non_covid";33
"124";2021-06-29;"PB";"TN";"non_covid";18
"125";2021-06-29;"PD";"TN";"non_covid";43
"126";2021-06-29;"PE";"TN";"non_covid";11
"127";2021-06-29;"PK";"BA";"non_covid";13
"128";2021-06-29;"PN";"TT";"non_covid";21
"129";2021-06-29;"PO";"PO";"non_covid";65
"130";2021-06-29;"PP";"PO";"non_covid";37
"131";2021-06-29;"PT";"BB";"non_covid";5
"132";2021-06-29;"PU";"TN";"non_covid";10
"133";2021-06-29;"RA";"BB";"non_covid";7
"134";2021-06-29;"RK";"ZA";"non_covid";19
"135";2021-06-29;"RS";"BB";"non_covid";27
"136";2021-06-29;"RV";"KE";"non_covid";20
"137";2021-06-29;"SA";"NR";"non_covid";9
"138";2021-06-29;"SB";"PO";"non_covid";27
"139";2021-06-29;"SC";"BA";"covid";1
"140";2021-06-29;"SC";"BA";"non_covid";24
"141";2021-06-29;"SE";"TT";"non_covid";12
"142";2021-06-29;"SI";"TT";"non_covid";9
"143";2021-06-29;"SK";"PO";"non_covid";1
"144";2021-06-29;"SL";"PO";"non_covid";10
"145";2021-06-29;"SN";"KE";"non_covid";22
"146";2021-06-29;"SO";"KE";"non_covid";9
"147";2021-06-29;"SP";"PO";"non_covid";8
"148";2021-06-29;"SV";"PO";"non_covid";12
"149";2021-06-29;"TN";"TN";"non_covid";29
"150";2021-06-29;"TO";"NR";"non_covid";17
"151";2021-06-29;"TR";"ZA";"non_covid";5
"152";2021-06-29;"TS";"ZA";"non_covid";5
"153";2021-06-29;"TT";"TT";"non_covid";53
"154";2021-06-29;"TV";"KE";"non_covid";44
"155";2021-06-29;"VK";"BB";"non_covid";15
"156";2021-06-29;"VT";"PO";"non_covid";21
"157";2021-06-29;"ZA";"ZA";"non_covid";40
